mouse,noStimDp,v1StimDp,scStimDp,obStimDp,noStimC,v1StimC,scStimC,obStimC,v1DeltaDp,scDeltaDp,obDeltaDp,nNoStim,nV1Stim,nSCStim,nDualStim,faRate,lapseRate
2365,1.61112291364081,1.52739950230985,0.372302096815193,0.648804879303974,0.867614145765506,0.909475851430987,1.48702455417832,1.34877316293393,-0.0837234113309615,-1.23882081682562,-0.962318034336841,80,79,79,83,0.0471463658812077,0.5
2365,1.78425626443902,1.69506949460819,0.560737559753137,0.33447431398539,0.758231363737299,0.802824748652715,1.36999071608024,1.48312233896411,-0.0891867698308308,-1.22351870468588,-1.44978195045363,73,72,72,72,0.0494347151089489,0.444444444444444
2365,1.58692448812086,1.87310869118537,0.297865253478761,0.215961828550118,0.908894682260815,0.765802580728561,1.55342429958187,1.59437601204619,0.286184203064508,-1.2890592346421,-1.37096265957074,92,92,91,91,0.044344239709037,0.395604395604396
2365,2.49239694615037,2.3831786399052,0.670587425507152,0.761121318250851,0.685998460569479,0.74060761369206,1.59690322089109,1.55163627451924,-0.109218306245163,-1.82180952064321,-1.73127562789951,100,104,102,104,0.0266676017617193,0.223300970873786
2365,1.15758197328875,1.36626838411742,0.0637783672551371,0.0821209080890559,0.733893664225208,0.629550458810872,1.28079546724201,1.27162419682506,0.208686410828671,-1.09380360603361,-1.0754610651997,59,60,63,62,0.0946446159157383,0.349397590361446
2365,1.62336503030332,1.1733534912927,0.542423226524618,0.305999183027726,0.550235723100744,0.775241492606057,1.0907066249901,1.20891864673854,-0.450011539010626,-1.0809418037787,-1.3173658472756,80,80,80,82,0.086611844846203,0.290780141843972
2365,1.96873764153917,1.83942757827151,0.873339248898471,0.596618539702739,0.694100128040831,0.758755159674659,1.24179932436118,1.38015967895904,-0.129310063267657,-1.0953983926407,-1.37211910183643,87,89,89,89,0.046627793658464,0.288888888888889
2365,1.55678412641023,1.19207876108369,-0.463216674742895,1.10696753917338,1.11105530702654,1.29340798968981,2.1210557076031,1.33596360064497,-0.364705365326543,-2.02000080115312,-0.449816587236853,85,83,52,50,0.0294159542997529,0.478260869565217
2365,2.11334093149114,1.77485653420822,1.26638443123464,1.14377489326276,0.856840376101495,1.02608257474296,1.28031862622974,1.34162339521568,-0.338484397282921,-0.846956500256497,-0.969566038228377,66,63,68,66,0.0278413434441412,0.284552845528455
2365,2.53605950334225,1.82026532177271,1.14476106757037,1.3736722135501,0.315322507424126,0.673219598208895,1.01097172531007,0.8965161523202,-0.715794181569539,-1.39129843577188,-1.16238728979215,56,60,57,60,0.0566705989467905,0.248554913294798
2365,1.77799706113294,1.14722226934306,0.993087085070285,0.484682487148603,0.995604397433809,1.31099179332875,1.38805938546513,1.64226168442598,-0.630774791789876,-0.784909976062651,-1.29331457398433,76,75,76,74,0.0297417333558074,0.425619834710744
2365,1.76938049006355,1.33110194285379,0.888700892517679,0.741237491773554,0.929886122520396,1.14902539612527,1.37022592129333,1.44395762166539,-0.438278547209757,-0.880679597545867,-1.02814299828999,44,68,34,35,0.0347945184903138,0.370629370629371
2365,1.83112010042271,1.38226921737564,1.00928048052026,1.00928048052026,0.739559239716526,0.963984681240058,1.15047904966775,1.15047904966775,-0.448850883047064,-0.821839619902446,-0.821839619902446,44,45,44,44,0.0489501513530695,0.292134831460674
2365,2.15115594158678,1.67977586876854,1.252407742583,1.15793104654805,0.401175676127002,0.636865712536122,0.850549775628894,0.897788123646368,-0.47138007281824,-0.898748199003784,-0.993224895038733,43,41,42,43,0.0698708429725585,0.160839160839161
2365,2.21264388275219,1.84647901474684,1.21017365374465,1.16757944440726,0.555745092428809,0.738827526431485,1.05698020693258,1.07827731160128,-0.366164868005352,-1.00247022900754,-1.04506443834494,65,64,67,64,0.0482496672905234,0.317948717948718
2365,2.04419457518358,1.96941225770236,0.651603544670539,0.950206565087692,0.928715550146013,0.966106708886624,1.62501106540253,1.47570955519396,-0.0747823174812217,-1.39259103051304,-1.09398801009588,51,50,50,50,0.0255396570707935,0.389162561576355
2365,1.8050990536181,1.61910098480234,0.977701117213449,0.415356477792639,1.04870025053941,1.1416992849473,1.46239921874174,1.74357153845215,-0.185998068815764,-0.827397936404655,-1.38974257582546,57,57,59,58,0.0255136701100473,0.454545454545455
2365,1.49683026509737,2.02034383799492,1.24420645482156,1.42888527017715,1.16442087230031,0.902664085851532,1.29073277743821,1.19839336976041,0.523513572897552,-0.252623810275804,-0.0679449949202131,56,54,55,54,0.0278845251280067,0.363636363636364
2365,1.96597980865446,1.55769079413665,1.10706906043277,0.551742057413072,0.761972423907077,0.966116931165982,1.19142779801792,1.46909129952777,-0.40828901451781,-0.858910748221686,-1.41423775124139,48,49,48,46,0.0404957133316859,0.317708333333333
2365,1.7559066457943,2.02202599748382,1.22442847071074,0.913233379516453,0.606231175512108,0.473171499667347,0.871970263053891,1.02756780865103,0.266119351689521,-0.531478175083566,-0.84267326627785,41,40,41,42,0.068879990551706,0.218181818181818
2401,2.53131431245047,2.17621429584934,1.97187887519533,2.05424177007892,0.915710469069294,1.09326047736986,1.19542818769686,1.15424674025507,-0.355100016601127,-0.559435437255138,-0.477072542371548,95,95,94,94,0.0145781181046206,0.25531914893617
2401,2.39241046380596,2.19211430452396,2.17791592444921,2.05844876592544,1.03799600142246,1.13814408106346,1.14524327110083,1.20497685036271,-0.200296159281999,-0.214494539356741,-0.333961697880512,95,98,95,96,0.0127349176665174,0.291666666666667
2401,2.29375974227771,2.33490055607283,2.21076198921917,2.30883712525462,1.21346973926178,1.19289933236422,1.25496861579105,1.20593104777333,0.0411408137951192,-0.0829977530585393,0.0150773829769086,92,91,92,95,0.00912885973436861,0.369565217391304
2401,2.97344879270114,2.67269847798184,2.77720084250717,2.36348810888166,1.10462354632713,1.25499870368678,1.20274752142412,1.40960388823687,-0.300750314719297,-0.196247950193971,-0.609960683819477,103,101,99,126,0.00478003896243784,0.274509803921569
2401,2.81068252387208,2.70092062334166,2.3025247714037,2.52936948799157,0.818469270437206,0.873350220702415,1.07254814667139,0.959125788377462,-0.109761900530417,-0.508157752468375,-0.281313035880511,80,80,80,80,0.0130805972380948,0.25
2401,2.47744605743766,2.37682090890532,2.1308373490601,2.34075060694099,1.21356395500083,1.263876529267,1.38686830918961,1.28191168024916,-0.100625148532339,-0.346608708377556,-0.136695450496665,74,76,74,74,0.0070975699311927,0.358108108108108
2401,2.44830949267601,2.25340439732244,2.05422672778826,2.14521715096861,1.13823975991015,1.23569230758693,1.33528114235402,1.28978593076384,-0.194905095353561,-0.394082764887747,-0.303092341707397,65,65,65,62,0.00907865419322007,0.445652173913043
2401,2.256943216961,2.05254270687535,2.02538625695923,1.99701963857014,0.99652997979698,1.0987302348398,1.11230845979786,1.12649176899241,-0.204400510085645,-0.231556960001766,-0.259923578390853,50,50,49,48,0.0167932401840594,0.346938775510204
2401,2.1657695346513,2.20428311518805,1.79483716435728,1.93085946742742,1.13813189070349,1.11887510043511,1.3235980758505,1.25558692431543,0.0385135805367529,-0.370932370294022,-0.234910067223882,33,34,32,33,0.0131749165743658,0.466165413533835
2401,1.99600406899405,1.7255706009806,1.63116809115015,1.39449386178859,1.20755417078644,1.34277090479316,1.38997215970839,1.50830927438917,-0.270433468013451,-0.364835977843897,-0.601510207205462,40,40,41,41,0.0137075441707282,0.524691358024691
